"","Abbreviation","Title","FoR1","FoR.method","FoRCode","Category"
"1099","IMA Fungus","IMA Fungus: the global mycological journal","Microbiology ","Chosen.by.ERA","Biological sciences","Microbiology"
"1100","Imaging Sci Dent","Imaging Science Journal","Optical Physics","Chosen.by.ERA","Physical sciences","Informatics, mathematics and physics"
"1101","Immun Ageing","Immunity and Ageing","Clinical Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"1102","Immune Netw","","Immunology","Chosen.by.Luke","Medical and health sciences","Immunology"
"1103","Immunity","Immunity","Immunology","Chosen.by.ERA","Medical and health sciences","Immunology"
"1104","Immunobiology","Immunobiology","Medical And Health Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"1105","Immunogenetics","Immunogenetics","Immunology","Chosen.by.ERA","Medical and health sciences","Immunology"
"1106","Immunol Cell Biol","Immunology and Cell Biology","Immunology","Chosen.by.ERA","Medical and health sciences","Immunology"
"1107","Immunol Lett","Immunology Letters","Immunology","Chosen.by.ERA","Medical and health sciences","Immunology"
"1108","Immunome Res","Immunome Research","Immunology","Chosen.by.ERA","Medical and health sciences","Immunology"
"1109","Implement Sci","Implementation Science","Medical And Health Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"1110","In Vitro Cell Dev Biol Anim","In Vitro Cellular and Developmental Biology: Animal","Genetics ","Chosen.by.ERA","Biological sciences","Genetics"
"1111","Ind Psychiatry J","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"1112","Indian Dermatol Online J","Indian Dermatology Online Journal","Medical And Health Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"1113","Indian J Anaesth","Indian Journal of Anaesthesia","Medical And Health Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"1114","Indian J Community Med","Indian Journal of Community Medicine","Public Health And Health Services","Chosen.by.ERA","Medical and health sciences","Public Health And Health Services"
"1115","Indian J Crit Care Med","Indian Journal of Critical Care Medicine","Clinical Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"1116","Indian J Dermatol","Indian Journal of Dermatology","Medical And Health Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"1117","Indian J Endocrinol Metab","Indian Journal of Endocrinology and Metabolism","Medical And Health Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"1118","Indian J Hum Genet","Indian Journal of Human Genetics","Biological Sciences","Chosen.by.ERA","Biological sciences","Biological Sciences"
"1119","Indian J Med Paediatr Oncol","Indian Journal of Medical and Paediatric Oncology","Oncology And Carcinogenesis","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"1120","Indian J Med Res","Indian Journal of Medical Research","Medical And Health Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"1121","Indian J Nephrol","Indian Journal of Nephrology","Medical And Health Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"1122","Indian J Nucl Med","Indian Journal of Nuclear Medicine","Medical And Health Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"1123","Indian J Occup Environ Med","Indian Journal of Occupational and Environmental Medicine","Medical And Health Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"1124","Indian J Ophthalmol","Indian Journal of Orthopaedics","Medical And Health Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"1125","Indian J Orthop","Indian Journal of Otology","Medical And Health Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"1126","Indian J Palliat Care","Indian Journal of Palliative Care","Medical And Health Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"1127","Indian J Pharm Sci","Indian Journal of Pharmaceutical Sciences","Pharmacology And Pharmaceutical Sciences","Chosen.by.ERA","Medical and health sciences","Pharmacology And Pharmaceutical Sciences"
"1128","Indian J Pharmacol","Indian Journal of Pharmacology","Pharmacology And Pharmaceutical Sciences","Chosen.by.ERA","Medical and health sciences","Pharmacology And Pharmaceutical Sciences"
"1129","Indian J Plast Surg","Indian Journal of Plastic Surgery","Medical And Health Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"1130","Indian J Psychiatry","Indian Journal of Psychiatry","Clinical Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"1131","Indian J Psychol Med","Indian Journal of Psychological Medicine","Medical And Health Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"1132","Indian J Radiol Imaging","Indian Journal of Radiology and Imaging","Medical And Health Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"1133","Indian J Sex Transm Dis","Indian Journal of Sexually Transmitted Diseases and AIDS","Medical And Health Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"1134","Indian J Surg","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"1135","Indian J Urol","Indian Journal of Urology","Medical And Health Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"1136","Inf Retr Boston","Information Retrieval","Data Format","Chosen.by.ERA","Information and computing sciences","Computer sciences"
"1137","Infant Behav Dev","Infant Behavior and Development","Clinical Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"1138","Infant Child Adolesc Nutr","","Nutrition And Dietetics","Chosen.by.Luke","Medical and health sciences","Nutrition And Dietetics"
"1139","Infect Agent Cancer","Infectious Agents and Cancer","Oncology And Carcinogenesis","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"1140","Infect Chemother","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"1141","Infect Dis (Auckl)","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"1142","Infect Dis Obstet Gynecol","Infectious Diseases in Obstetrics and Gynecology","Microbiology ","Chosen.by.ERA","Biological sciences","Microbiology"
"1143","Infect Dis Poverty","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"1144","Infect Dis Rep","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"1145","Infect Drug Resist","Infection and Drug Resistance","Clinical Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"1146","Infect Ecol Epidemiol","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"1147","Infect Genet Evol","Infection, Genetics and Evolution","Genetics ","Chosen.by.ERA","Biological sciences","Genetics"
"1148","Infect Immun","Infection and Immunity","Biological Sciences","Chosen.by.ERA","Biological sciences","Biological Sciences"
"1149","Infection","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"1150","Inflamm Bowel Dis","Inflammatory Bowel Diseases","Clinical Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"1151","Inflamm Res","Inflammation Research","Clinical Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"1152","Inflammation","Inflammation","Immunology","Chosen.by.ERA","Medical and health sciences","Immunology"
"1153","Influenza Res Treat","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"1154","Inhal Toxicol","Inhalation Toxicology","Pharmacology And Pharmaceutical Sciences","Chosen.by.ERA","Medical and health sciences","Pharmacology And Pharmaceutical Sciences"
"1155","Inj Prev","Injury Prevention","Public Health And Health Services","Chosen.by.ERA","Medical and health sciences","Public Health And Health Services"
"1156","Injury","Injury Extra","Clinical Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"1157","Innate Immun","","Immunology","Chosen.by.Luke","Medical and health sciences","Immunology"
"1158","Inorg Chem","Inorganic Chemistry: including bioinorganic chemistry","Inorganic Chemistry","Chosen.by.ERA","Chemical sciences","Chemistry and geology"
"1159","Insect Biochem Mol Biol","Insect Biochemistry and Molecular Biology","Biochemistry And Cell Biology","Chosen.by.ERA","Biological sciences","Biochemistry And Cell Biology"
"1160","Insect Mol Biol","Insect Molecular Biology","Biological Sciences","Chosen.by.ERA","Biological sciences","Biological Sciences"
"1161","Insectes Soc","Insectes Sociaux","Zoology","Chosen.by.ERA","Biological sciences","Zoology"
"1162","Insights Imaging","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"1163","Int Arch Allergy Immunol","International Archives of Allergy and Applied Immunology","Immunology","Chosen.by.ERA","Medical and health sciences","Immunology"
"1164","Int Arch Med","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"1165","Int Arch Occup Environ Health","International Archives of Occupational and Environmental Health","Public Health And Health Services","Chosen.by.ERA","Medical and health sciences","Public Health And Health Services"
"1166","Int Breastfeed J","International Breastfeeding Journal","Nursing","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"1167","Int Clin Psychopharmacol","International Clinical Psychopharmacology","Psychology","Chosen.by.ERA","Psychology and cognitive sciences","Psychology and sociology"
"1168","Int Health","International Health","Medical And Health Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"1169","Int Immunol","International Immunology","Immunology","Chosen.by.ERA","Medical and health sciences","Immunology"
"1170","Int J Adv Couns","","Psychology","Chosen.by.Luke","Psychology and cognitive sciences","Psychology and sociology"
"1171","Int J Alzheimer Dis","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"1172","Int J Alzheimers Dis","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"1173","Int J Androl","International Journal of Andrology","Clinical Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"1174","Int J Appl Basic Med Res","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"1175","Int J Audiol","International Journal of Audiology","Clinical Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"1176","Int J Ayurveda Res","International Journal of Ayurveda Research","Medical And Health Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"1177","Int J Behav Med","International Journal of Behavioral Medicine","Psychology","Chosen.by.ERA","Psychology and cognitive sciences","Psychology and sociology"
"1178","Int J Behav Nutr Phys Act","International Journal of Behavioral Nutrition and Physical Activity","Medical And Health Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"1179","Int J Biochem Cell Biol","","Biochemistry And Cell Biology","Chosen.by.Luke","Biological sciences","Biochemistry And Cell Biology"
"1180","Int J Biol Sci","","Biological Sciences","Chosen.by.Luke","Biological sciences","Biological Sciences"
"1181","Int J Biomater","","Biological Sciences","Chosen.by.Luke","Biological sciences","Biological Sciences"
"1182","Int J Biomed Imaging","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"1183","Int J Biometeorol","","Biological Sciences","Chosen.by.Luke","Biological sciences","Biological Sciences"
"1184","Int J Breast Cancer","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"1185","Int J Cancer","International Journal of Cancer","Oncology And Carcinogenesis","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"1186","Int J Cardiol","International Journal of Cardiology","Cardiovascular Medicine And Haematology","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"1187","Int J Cardiovasc Imaging","International Journal of Cardiovascular Imaging","Cardiovascular Medicine And Haematology","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"1188","Int J Cell Biol","","Biochemistry And Cell Biology","Chosen.by.Luke","Biological sciences","Biochemistry And Cell Biology"
"1189","Int J Chron Obstruct Pulmon Dis","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"1190","Int J Circumpolar Health","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"1191","Int J Clin Pharm","International Journal of Clinical Pharmacology and Therapeutics","Pharmacology And Pharmaceutical Sciences","Chosen.by.ERA","Medical and health sciences","Pharmacology And Pharmaceutical Sciences"
"1192","Int J Clin Pract","International Journal of Clinical Practice","Clinical Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"1193","Int J Colorectal Dis","International Journal of Colorectal Disease: clinical and molecular gastroenterology and surgery","Clinical Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"1194","Int J Cosmet Sci","International Journal of Cosmetic Science","Medicinal And Biomolecular Chemistry","Chosen.by.ERA","Chemical sciences","Biochemistry And Cell Biology"
"1195","Int J Crit Illn Inj Sci","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"1196","Int J Dent","","Dentistry","Chosen.by.Luke","Medical and health sciences","Dentistry"
"1197","Int J Dent Hyg","International Journal of Dental Hygiene","Dentistry","Chosen.by.ERA","Medical and health sciences","Dentistry"
"1198","Int J Diabetes Dev Ctries","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"1199","Int J Drug Policy","International Journal of Drug Policy","Medical And Health Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"1200","Int J Eat Disord","International Journal of Eating Disorders","Psychology And Cognitive Sciences","Chosen.by.ERA","Psychology and cognitive sciences","Psychology and sociology"
"1201","Int J Emerg Med","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"1202","Int J Endocrinol","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"1203","Int J Endocrinol Metab","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"1204","Int J Environ Res Public Health","International Journal of Environmental Research and Public Health","Multidisciplinary","Chosen.by.ERA","Multidisciplinary","Multidisciplinary"
"1205","Int J Epidemiol","International Journal of Epidemiology","Statistics ","Chosen.by.ERA","Mathematical sciences","Medical And Health Sciences"
"1206","Int J Equity Health","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"1207","Int J Evol Biol","","Evolutionary Biology","Chosen.by.Luke","Biological sciences","Ecology, evolution and earth sciences"
"1208","Int J Exp Pathol","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"1209","Int J Family Med","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"1210","Int J Food Microbiol","International Journal of Food Microbiology","Microbiology ","Chosen.by.ERA","Biological sciences","Microbiology"
"1211","Int J Gen Med","International Journal of General Medicine","Clinical Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"1212","Int J Genomics","","Biological Sciences","Chosen.by.Luke","Biological sciences","Biological Sciences"
"1213","Int J Gynecol Cancer","International Journal of Gynecological Cancer","Oncology And Carcinogenesis","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"1214","Int J Health Geogr","International Journal of Health Geographics","Human Geography","Chosen.by.ERA","Studies in human society","Geography, business and economics"
"1215","Int J Hematol","International Journal of Hematology","Cardiovascular Medicine And Haematology","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"1216","Int J Hepatol","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"1217","Int J Hypertens","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"1218","Int J Hyperthermia","International Journal of Hyperthermia","Clinical Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"1219","Int J Immunogenet","International Journal of Immunogenetics","Genetics ","Chosen.by.ERA","Biological sciences","Genetics"
"1220","Int J Impot Res","International Journal of Impotence Research","Clinical Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"1221","Int J Infect Dis","International Journal of Infectious Diseases","Microbiology ","Chosen.by.ERA","Biological sciences","Microbiology"
"1222","Int J Inflam","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"1223","Int J Lab Hematol","International Journal of Laboratory Hematology","Cardiovascular Medicine And Haematology","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"1224","Int J Lang Commun Disord","International Journal of Language and Communication Disorders","Clinical Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"1225","Int J Legal Med","International Journal of Legal Medicine","Other Chemical Sciences","Chosen.by.ERA","Chemical sciences","Chemistry and geology"
"1226","Int J Med Sci","International Journal of Medical Sciences","Medical And Health Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"1227","Int J Ment Health Addict","International Journal of Mental Health and Addiction","Public Health And Health Services","Chosen.by.ERA","Medical and health sciences","Public Health And Health Services"
"1228","Int J Ment Health Syst","International Journal of Mental Health Systems","Medical And Health Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"1229","Int J Microbiol","","Microbiology ","Chosen.by.Luke","Biological sciences","Microbiology"
"1230","Int J Mol Imaging","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"1231","Int J Mol Med","International Journal of Molecular Medicine","Medicinal And Biomolecular Chemistry","Chosen.by.ERA","Chemical sciences","Biochemistry And Cell Biology"
"1232","Int J Mol Sci","International Journal of Molecular Sciences","Other Chemical Sciences","Chosen.by.ERA","Chemical sciences","Chemistry and geology"
"1233","Int J Nanomedicine","International Journal of Nanomedicine","Nanotechnology","Chosen.by.ERA","Technology","Informatics, mathematics and physics"
"1234","Int J Nephrol","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"1235","Int J Nephrol Renovasc Dis","International Journal of Nephrology and Renovascular Disease","Clinical Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"1236","Int J Neuropsychopharmacol","","Pharmacology And Pharmaceutical Sciences","Chosen.by.Luke","Medical and health sciences","Pharmacology And Pharmaceutical Sciences"
"1237","Int J Neurosci","International Journal of Neuroscience","Neurosciences","Chosen.by.ERA","Medical and health sciences","Neurosciences"
"1238","Int J Obes (Lond)","International Journal of Obesity","Medical And Health Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"1239","Int J Oncol","International Journal of Oncology","Oncology And Carcinogenesis","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"1240","Int J Oral Sci","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"1241","Int J Otolaryngol","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"1242","Int J Parasitol","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"1243","Int J Parasitol Drugs Drug Resist","","Pharmacology And Pharmaceutical Sciences","Chosen.by.Luke","Medical and health sciences","Pharmacology And Pharmaceutical Sciences"
"1244","Int J Parasitol Parasites Wildl","","Zoology","Chosen.by.Luke","Biological sciences","Zoology"
"1245","Int J Pediatr","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"1246","Int J Pediatr Endocrinol","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"1247","Int J Pediatr Obes","International Journal of Pediatric Obesity","Medical And Health Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"1248","Int J Pediatr Otorhinolaryngol","International Journal of Pediatric Otorhinolaryngology","Paediatrics And Reproductive Medicine","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"1249","Int J Pept","International Journal of Peptide Research and Therapeutics","Biochemistry And Cell Biology","Chosen.by.ERA","Biological sciences","Biochemistry And Cell Biology"
"1250","Int J Pharm","International Journal of Pharmacology","Pharmacology And Pharmaceutical Sciences","Chosen.by.ERA","Medical and health sciences","Pharmacology And Pharmaceutical Sciences"
"1251","Int J Pharm Investig","","Pharmacology And Pharmaceutical Sciences","Chosen.by.Luke","Medical and health sciences","Pharmacology And Pharmaceutical Sciences"
"1252","Int J Plant Genomics","International Journal of Plant Genomics","Plant Biology","Chosen.by.ERA","Biological sciences","Plant Biology"
"1253","Int J Primatol","International Journal of Primatology","Zoology","Chosen.by.ERA","Biological sciences","Zoology"
"1254","Int J Proteomics","","Biological Sciences","Chosen.by.Luke","Biological sciences","Biological Sciences"
"1255","Int J Psychiatry Clin Pract","International Journal of Psychiatry in Clinical Practice","Clinical Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"1256","Int J Psychophysiol","International Journal of Psychophysiology","Medical And Health Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"1257","Int J Public Health","International Journal of Public Health","Public Health And Health Services","Chosen.by.ERA","Medical and health sciences","Public Health And Health Services"
"1258","Int J Qual Health Care","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"1259","Int J Radiat Biol","International Journal of Radiation Biology","Biological Sciences","Chosen.by.ERA","Biological sciences","Biological Sciences"
"1260","Int J Radiat Oncol Biol Phys","International Journal of Radiation: Oncology - Biology - Physics","Clinical Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"1261","Int J Rheumatol","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"1262","Int J Shoulder Surg","International Journal of Shoulder Surgery","Medical And Health Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"1263","Int J Soc Psychiatry","International Journal of Social Psychiatry","Clinical Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"1264","Int J Surg Oncol","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"1265","Int J Technol Assess Health Care","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"1266","Int J Telemed Appl","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"1267","Int J Trichology","International Journal of Trichology","Medical And Health Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"1268","Int J Tryptophan Res","","Biological Sciences","Chosen.by.Luke","Biological sciences","Biological Sciences"
"1269","Int J Urol","International Journal of Urology","Clinical Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"1270","Int J Vasc Med","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"1271","Int J Womens Health","International Journal of Women's Health","Paediatrics And Reproductive Medicine","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"1272","Int J Yoga","International Journal of Yoga Therapy","Human Movement And Sports Science","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"1273","Int Neurourol J","","Neurosciences","Chosen.by.Luke","Medical and health sciences","Neurosciences"
"1274","Int Ophthalmol","International Ophthalmology","Ophthalmology And Optometry","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"1275","Int Orthop","International Orthopaedics","Clinical Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"1276","Int Psychogeriatr","International Psychogeriatrics","Psychology And Cognitive Sciences","Chosen.by.ERA","Psychology and cognitive sciences","Psychology and sociology"
"1277","Int Semin Surg Oncol","International Seminars in Surgical Oncology","Oncology And Carcinogenesis","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"1278","Int Urogynecol J","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"1279","Int Urogynecol J Pelvic Floor Dysfunct","International Urogynecology Journal and Pelvic Floor Dysfunction","Paediatrics And Reproductive Medicine","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"1280","Int Urol Nephrol","International Urology and Nephrology","Clinical Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"1281","Integr Blood Press Control","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"1282","Integr Comp Biol","Integrative and Comparative Biology","Zoology","Chosen.by.ERA","Biological sciences","Zoology"
"1283","Integr Med Insights","Integrative Medicine Insights","Complementary And Alternative Medicine","Chosen.by.ERA","Medical and health sciences","Complementary And Alternative Medicine"
"1284","Intelligence","Intelligence","Psychology","Chosen.by.ERA","Psychology and cognitive sciences","Psychology and sociology"
"1285","Intensive Care Med","Intensive Care Medicine","Clinical Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"1286","Interact J Med Res","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"1287","Interdiscip Perspect Infect Dis","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"1288","Interdiscip Toxicol","","Biological Sciences","Chosen.by.Luke","Biological sciences","Biological Sciences"
"1289","Intern Emerg Med","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"1290","Invert Neurosci","Invertebrate Neuroscience","Zoology","Chosen.by.ERA","Biological sciences","Zoology"
"1291","Invertebr Biol","Invertebrate Biology","Zoology","Chosen.by.ERA","Biological sciences","Zoology"
"1292","Invest New Drugs","Investigational New Drugs","Pharmacology And Pharmaceutical Sciences","Chosen.by.ERA","Medical and health sciences","Pharmacology And Pharmaceutical Sciences"
"1293","Investig Genet","Investigative Genetics","Genetics ","Chosen.by.ERA","Biological sciences","Genetics"
"1294","Iperception","","Biological Sciences","Chosen.by.Luke","Biological sciences","Biological Sciences"
"1295","Ir Vet J","","Veterinary Sciences","Chosen.by.Luke","Agricultural and veterinary sciences","Animal, veterinary and agricultural science"
"1296","Iran J Radiol","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"1297","Iran Red Crescent Med J","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"1298","Iranian J Environ Health Sci Eng","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"1299","Islets","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"1300","ISME J","","Microbiology ","Chosen.by.Luke","Biological sciences","Microbiology"
"1301","Isr J Health Policy Res","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"1302","ISRN AIDS","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"1303","ISRN Allergy","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"1304","ISRN Cardiol","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"1305","ISRN Dent","","Dentistry","Chosen.by.Luke","Medical and health sciences","Dentistry"
"1306","ISRN Dermatol","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"1307","ISRN Endocrinol","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"1308","ISRN Gastroenterol","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"1309","ISRN Hematol","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"1310","ISRN Inflamm","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"1311","ISRN Microbiol","","Microbiology ","Chosen.by.Luke","Biological sciences","Microbiology"
"1312","ISRN Neurol","","Neurosciences","Chosen.by.Luke","Medical and health sciences","Neurosciences"
"1313","ISRN Nurs","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"1314","ISRN Obes","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"1315","ISRN Obstet Gynecol","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
